0 89.10972111185042 0.0 789.0985611307613, 1 134.8253212833317 -109.36181850657697 786.5063818677768, 2 126.2828510083183 -75.55323622358901 395.6842583768255, 3 136.78600206250377 -52.782687609226 40.17248631149596, 6 40.687114839556635 109.36123452093271 792.2321765955446, 7 -102.523739620874 141.92142035626787 421.13183265544205, 8 -317.4839423214793 137.495047593125 73.59198238985323, 12 148.3044188437165 13.588139543207753 1089.742274131143, 13 144.35500795113785 21.992617175278724 1335.2366602450488, 14 198.26167922462398 -10.602951889258193 1407.4542828515669, 15 165.8387384238813 -9.867284300276744 1519.429630659365, 17 204.90465418651704 139.03638047276252 1271.9217639479423, 18 294.28236051411267 246.03545186495901 1046.5266443427736, 19 448.66804334484374 215.3544513177317 827.4096929418033, 25 77.19797702844595 -101.53760674481242 1297.4200696852229, 26 254.92743080716704 -321.79479949436774 1456.2314438542921, 27 323.66698250633755 -367.77022228505064 1603.9531142147994, 
0 89.10972111185042 0.0 789.5603625642818, 1 134.8374120879975 -109.01291560146979 786.9448653208703, 2 126.2845875934833 -75.49926899069598 396.13710971757257, 3 136.79763217889524 -52.447078730588316 40.54872331727927, 6 40.68366051494145 109.01235090701631 792.71556755791, 7 -102.50783275430796 141.27878879011297 421.69066597501546, 8 -317.37164818187813 136.03161469293946 74.39791102537731, 12 148.51667790131089 13.672971746469827 1090.1387551544572, 13 144.36063665265453 22.149443019188368 1335.7097190816025, 14 198.52649861447094 -9.95903144277986 1408.043997781725, 15 166.3571767444991 -9.418106611361452 1519.9549538669967, 17 204.88528573053338 138.6451412192277 1272.3622600798808, 18 304.654576449618 244.11482033162548 1046.9884457762942, 19 448.30760697376326 211.9680566685303 828.0475214402702, 25 77.2136675379933 -100.74524321721795 1297.9328652747724, 26 255.12935767534375 -318.88130974437223 1457.017770611668, 27 324.2272744331686 -361.4825589432728 1605.37986285564, 
0 94.06026117361989 0.0 804.8897108552734, 1 96.29773721132806 -109.60678997481246 816.3516045747899, 2 125.80228015880692 -90.48776375501122 408.7776746141883, 3 136.67301562772067 -56.04312365323972 41.94327319231809, 6 91.55146490894748 109.60616941140127 793.156549134901, 7 -102.36238388077379 135.4027077274664 423.05563220925706, 8 -318.3962123029845 149.38387731769626 71.7358458567021, 12 107.52352827751466 16.79709567910902 1097.6581489060377, 13 100.32421115411654 32.89679428666513 1346.4423056298167, 14 162.00970157367297 -7.386953788059955 1417.3980857385989, 15 136.95163647156556 -1.9122540534821582 1534.2683960655481, 17 174.68861992928925 151.38592723083988 1283.8096008451332, 18 304.9685237204415 248.48839082064438 1068.4984858626974, 19 445.71500189475745 187.6098490306031 912.7151267975157, 25 28.99456978269476 -95.43343811378635 1298.7524453319986, 26 244.2752720105042 -344.9513855861628 1400.3082334527057, 27 360.26584830436013 -361.3480164870075 1560.8450077156904, 
0 94.06026117361989 0.0 805.3674389609565, 1 86.65309378805786 -110.27426831283668 816.8689852195062, 2 125.61615628741895 -96.27186839707339 410.2003392976874, 3 136.4984982845883 -61.07914976510574 43.70495032247504, 6 101.74037210653927 110.27366053368644 793.5929717213122, 7 -102.46250144081259 139.44742037657608 412.6763930546223, 8 -320.2161904658283 173.10208675037597 76.96577605901984, 12 106.46696941378964 15.797280071555633 1098.0523016111433, 13 100.30084035524807 31.957319968827775 1346.8503864294191, 14 160.81168936027564 -11.661738672398954 1417.890540521651, 15 135.3698358952873 -4.755685541751703 1534.996529278701, 17 174.69773351647277 151.602506980544 1284.2996590981825, 18 294.6693876854998 251.61965027791857 1079.515622096821, 19 446.21723775725076 192.32848725317317 913.041016154073, 25 28.98361980671404 -96.90802147157468 1299.1352736458487, 26 244.06708586823692 -348.06643879876003 1400.4852482417805, 27 359.8488867315382 -365.559290081599 1551.7323434118139, 
0 103.96134129715882 0.0 805.4255023504408, 1 48.22909532102357 -103.1245303135603 816.5023078362315, 2 -77.84147113882 -69.0414496414972 444.73056405128955, 3 138.76027868076085 4.188776791581574 27.12277222583282, 6 162.5014415143425 103.12409067395132 794.0934630109845, 7 141.98377055759866 97.2086965988085 398.9332999709794, 8 -318.1322458476692 145.94382963020647 83.34289732292189, 12 84.21390730239303 21.37061095072339 1098.6722903705268, 13 66.19999592882597 21.737621200169656 1346.1508192220058, 14 125.63354594874497 -30.519577440290192 1415.8098902302365, 15 93.24233063587346 -29.36547959024808 1534.035785989266, 17 153.8636068747106 144.02213239782077 1294.1837363766817, 18 273.5363791605873 250.29586123761808 1247.8939347637277, 19 511.33814817513945 215.8925214343572 1225.404996376683, 25 0.0 -104.66762780288003 1289.0519524080114, 26 234.01453374083061 -363.80723002779445 1309.0181760880712, 27 410.5205100523557 -394.59178076348326 1458.5224754295004, 
0 99.01080123538935 0.0 805.4835657399252, 1 48.353297720123436 -93.08906771350912 815.9641997100366, 2 -77.65753165290606 -78.33030922140489 446.21415845660715, 3 137.34284248695803 -36.714010036204655 37.60911618400928, 6 151.97249377076756 93.08861591013716 794.7725391486831, 7 -81.47901231883002 114.65270971401003 406.4128067558428, 8 -320.78763385904335 180.54921680715515 65.00115081149625, 12 78.52635993738713 19.971673670209164 1097.2018631715569, 13 66.79598341258455 27.661482860051137 1346.648044170643, 14 121.83720282834169 -26.826420791272497 1419.2192177507661, 15 93.8527308115724 -20.146315076282605 1535.397060587685, 17 143.52333245766843 141.63565033546183 1294.1000272654892, 18 271.90177289556476 224.89682559819562 1246.757478190311, 19 507.2854377460437 182.4786413032946 1286.1736015862007, 25 0.0 -93.20535811623435 1289.8193211135276, 26 234.66684311597177 -353.67143805044566 1309.8038153190591, 27 412.234778476638 -379.5361688865115 1460.294807243267, 
0 103.96134129715882 0.0 795.6243281893424, 1 48.220780066578946 -103.7963967637562 806.9979710066905, 2 -77.88760026796805 -66.7119498004451 444.47296926283263, 3 138.7265713343737 3.216087925703107 27.47066795097885, 6 162.52804950076543 103.79593622238947 783.9937909008413, 7 141.93035461060254 95.6672790007967 399.2773931196879, 8 -316.0065831597913 118.24189680286835 79.69460036603118, 12 74.7962166563681 23.05192882856955 1089.159012002181, 13 55.197675253436785 17.956404189352384 1336.024880093998, 14 116.39200614020058 -26.07472727691625 1403.3314407404055, 15 85.70972928660568 -27.757035609222484 1522.2856704460116, 17 122.97314142040597 140.05811776866216 1294.048154180397, 18 273.47977276374155 249.4162929148547 1247.9524745130886, 19 510.4383046062665 208.47347048732502 1287.6953612568122, 25 0.0 -106.22066453643465 1279.4175984424148, 26 236.16112559004304 -330.45279841444886 1211.5980352096149, 27 433.8661393180371 -348.3265301651364 1246.9571851936855, 
0 103.96134129715882 0.0 795.6661707622982, 1 48.30543149345287 -96.95662366282474 806.6165564452766, 2 -77.29450240622589 -96.66311948809008 449.11132026429027, 3 -306.26807342264004 -8.671721296281106 99.7006478295267, 6 162.25716330492355 96.9561219682381 784.4758235420402, 7 141.40868543668805 80.61353400081433 401.7040090591099, 8 -313.56363768198156 86.40509037395293 87.22288875808147, 12 72.87367379319699 22.5353547525501 1094.465780502077, 13 55.2207391531252 19.635274595273486 1336.1870289545177, 14 120.59806529785897 -17.04945359373241 1397.7300526489578, 15 96.50959320297471 -18.804525680412908 1516.3130987514264, 17 122.9245989924599 138.4238708871646 1293.9929118974608, 18 275.5978305813451 282.32735360684785 1302.5417113722442, 19 471.0855331360397 229.26277634498447 1393.6064382123034, 25 0.0 -100.64661718474328 1270.138622983708, 26 246.45785096682167 -312.29383443708934 1212.448947890422, 27 439.0994603471444 -304.2798119972743 1240.2497278144167, 
0 103.96134129715882 0.0 795.8139414232046, 1 48.3270850876652 -95.20702915861682 806.6560591351214, 2 -77.31444478268628 -95.65603863370038 449.1045375076287, 3 -307.1250017182413 2.495887853546293 97.19470505889376, 6 162.1878714936173 95.20651964097536 784.7361933963193, 7 141.20978080849616 74.87376691883722 402.76105802032214, 8 -302.07795427808077 67.94612990310557 61.50350059838354, 12 73.17376985942629 24.10892282197065 1094.162538527142, 13 55.25575175599141 22.183916567380408 1336.5174329222668, 14 120.25468755091114 -14.848638725316334 1396.965513800495, 15 96.43580519066006 -16.892626838918908 1515.2440656721196, 17 122.95501791817563 139.4479654080381 1304.44777190298, 18 275.5494784223008 281.5760422745185 1302.644849270956, 19 470.81848947407735 226.86533948956253 1393.5583768544375, 25 0.0 -96.99791543200668 1270.4941186529188, 26 218.81213256079164 -316.69592558584776 1212.4005839940412, 27 437.1427644638454 -320.74851927369156 1239.5414440263798, 
0 113.86242142069776 0.0 786.060631960572, 1 67.63726481359045 -96.3990670190259 787.5526623819335, 2 -67.6059308532174 -98.20746771771334 449.64386767728536, 3 -306.56677188846993 -4.779041200217279 99.071187450705, 6 162.23507963362562 96.39851433800061 784.8072508297122, 7 141.1108683314022 72.01946138969177 393.2816522671293, 8 -300.8406246446775 51.283575677173076 55.66519390691792, 12 73.9105034595845 24.549282862492113 1075.779750501099, 13 54.11012089270412 11.062399350129525 1315.0184746782256, 14 118.76311654864493 -17.760392644107576 1376.1801585691371, 15 96.2089106522759 -24.690195314879848 1492.411299059213, 17 102.2601608916474 131.27293651661205 1304.0896574634723, 18 276.5330931009843 296.8597621610298 1303.7005719429546, 19 472.24169720688457 239.64246607058536 1394.7498331860693, 25 9.644544558096037 -103.6394260997884 1241.3301463962746, 26 220.89060846555486 -281.70856597744427 1112.865682703474, 27 444.4298235875271 -259.41632931092374 1085.4750738666478, 
