0 21.445802054258 -153.61777384032828 640.1147374475048, 1 -102.21279754914747 -181.8693134443445 632.6875827853455, 2 -337.32189028711963 -221.3576346101264 364.4391021220849, 3 -405.4385283792817 -131.2213879091444 9.526510482531762, 6 146.86144162811374 -125.3663196820606 647.6630706100486, 7 409.5863239881068 -174.72792172370745 359.3390430007989, 8 476.6942690342373 -37.34754694551921 -17.6212794497975, 12 -48.55801350345918 -114.3323297911017 964.0085909763045, 13 -68.49364908222003 -136.2565570026045 1198.5939640565427, 14 -33.6231967376052 -212.80153256269722 1262.3824036075034, 15 -51.2174201298977 -224.61836912431835 1395.765924796463, 17 104.35880554693074 -98.48049946442377 1142.3871973945982, 18 303.2014142520549 -114.1803454142277 985.1082583394541, 19 242.07200443056027 -261.3359759916005 819.566443730979, 25 -221.83666459712768 -175.1331333520062 1152.8760473565994, 26 -98.48432237082699 -326.74907316326374 958.665049522874, 27 132.03469285163723 -305.6999937781531 1000.8287198188456, 
0 30.024122875961197 -153.61777384032828 640.6307250678976, 1 -93.63255450763639 -184.5191184253474 633.3115420726378, 2 -328.9057582117997 -221.15539334600956 356.499488909489, 3 -406.19377150494114 -123.72854495883297 8.580218859626598, 6 155.6026375865265 -122.71654890204587 648.082453249058, 7 410.56712153347684 -165.20005135378057 358.8129332292361, 8 460.91051483010017 -20.56472956267561 -11.552901094120216, 12 -46.69999026626902 -112.67881154853022 973.3141327636943, 13 -59.927210609764586 -132.96132564334494 1208.9262709763561, 14 -21.934379980442216 -210.50025932136234 1273.1196481119337, 15 -34.02396870413318 -222.57249047436036 1406.7095858247003, 17 104.5347774506569 -91.64264594259545 1152.200989481633, 18 305.1229172775632 -88.58088949078119 969.3964525885914, 19 227.22197031599842 -229.4798428221381 786.624871328333, 25 -213.43172860884442 -172.75983122086413 1162.1430730657676, 26 -147.48511716894794 -333.0016925358338 958.9128522684973, 27 73.96783455960605 -321.330101125899 1025.162651821774, 
0 30.024122875961197 -150.92217557682793 641.1709033482778, 1 -93.63255450763639 -181.82352016184703 633.851720353018, 2 -328.9057582117997 -218.4597950825092 357.03966718986914, 3 -406.19377150494114 -121.03294669533261 9.12039714000673, 6 155.6026375865265 -120.02095063854551 648.6226315294381, 7 410.56712153347684 -162.5044530902802 359.3531115096162, 8 460.91051483010017 -17.86913129917525 -11.012722813740083, 12 -46.69999026626902 -109.98321328502986 973.8543110440744, 13 -59.927210609764586 -130.26572737984458 1209.4664492567363, 14 -21.934379980442216 -207.80466105786198 1273.6598263923138, 15 -34.02396870413318 -219.87689221086 1407.2497641050804, 17 104.5347774506569 -88.94704767909509 1152.7411677620132, 18 305.1229172775632 -85.88529122728083 969.9366308689715, 19 227.22197031599842 -226.78424455863774 787.1650496087132, 25 -213.43172860884442 -170.06423295736377 1162.6832513461477, 26 -147.48511716894794 -330.30609427233344 959.4530305488775, 27 73.96783455960605 -318.63450286239856 1025.7028301021542, 
0 30.024122875961197 -153.61777384032828 641.711081628658, 1 -93.60343286553316 -185.75358939672276 634.4421996515765, 2 -328.8452339952887 -221.8790328646137 357.6605444255974, 3 -406.1594525794815 -124.06902646731047 9.727022701595956, 6 155.650290352042 -121.48209944882717 649.1178044201648, 7 410.6693100133316 -164.2073504707571 359.7847145301507, 8 460.8921777431206 -20.72916094517899 -10.440454631145599, 12 -47.31670425149846 -112.28969703415112 973.8779885856775, 13 -59.95618590968861 -131.01730513425426 1210.2067447164477, 14 -21.100227678712194 -208.55997370410427 1273.791603797139, 15 -33.182655682088466 -221.01294071949354 1407.4246021406966, 17 104.58560732511228 -89.6675167958449 1153.455014780116, 18 304.4773581715965 -97.18142857908379 970.1079182316564, 19 225.92081150432657 -251.95093855315048 812.855731345562, 25 -213.45949945211095 -172.24185864616175 1163.2711954769463, 26 -147.41812914148187 -334.7370238011473 959.9187776876288, 27 73.82085669634108 -328.94505236660746 1025.7857439190434, 
0 30.024122875961197 -153.61777384032828 654.7164095674777, 1 -93.51420105370107 -189.53613988063634 643.235465037706, 2 -303.1307763545307 -227.30188139759977 358.40313728014723, 3 -406.31454786013774 -122.53031060110888 9.564578545313793, 6 155.79630364380682 -117.69961114553679 666.4284500890748, 7 410.91478459787487 -161.8227094898727 368.2224691694608, 8 425.6329644361644 -18.844262773233908 -10.67045861798124, 12 -39.59718839374382 -106.36288029543866 991.4033013613096, 13 -41.082163730627066 -120.71821009950771 1229.1349756977693, 14 -3.3364577723914977 -202.28947987731908 1289.6389315669169, 15 -13.527295621583495 -215.23121871282822 1424.4527589618906, 17 139.8347704431795 -78.38051734262385 1172.0646486916255, 18 322.2826896416961 -92.05694191067275 970.4655623913621, 19 225.44176560125433 -260.22409187688186 812.9580931701179, 25 -196.84653645970724 -162.83904623090314 1181.3932309815295, 26 -221.05449071748583 -335.99260916091356 976.3771770435319, 27 8.11144395615816 -371.31859210016205 1023.379133898009, 
0 30.024122875961197 -153.61777384032828 659.1434166845942, 1 -93.47555205325399 -191.17447706490265 651.9343330222711, 2 -302.9614481712613 -229.49511279760728 358.7855691400236, 3 -406.07309500647517 -124.92578862789523 10.1699190746275, 6 155.85954591875418 -116.06131395785981 666.5135948995503, 7 411.075967321287 -160.25691428392832 376.75649985803153, 8 425.4366148273502 -20.75168355420766 -10.160365778339383, 12 -41.441232297533126 -105.38060823419346 991.3169264514574, 13 -41.101942139597185 -118.77662938262769 1229.0485723539236, 14 -1.3998824955267963 -200.43220428549904 1289.035954413818, 15 -10.041561414709676 -214.117086558263 1423.3580624787683, 17 139.95375826428574 -74.9128275820246 1172.5222751671133, 18 322.59641149050816 -88.10326889561827 970.7729884753633, 19 225.5980771556374 -257.5245813552629 813.1075185100408, 25 -196.84169479774914 -162.9372039221497 1181.5216048709199, 26 -220.86081499295906 -339.33740128588283 984.5372440851067, 27 8.099521533407376 -376.8779191519652 1023.1831527672518, 
0 51.46992493021919 -153.61777384032828 685.3842222891781, 1 -67.94079769092905 -193.58881811285957 678.0059970121938, 2 -270.0996026822188 -217.82998541229856 366.4311511965334, 3 -400.7437448854493 -91.36795965894547 21.550364823385053, 6 173.28082666679606 -113.64700873686951 692.933896971242, 7 411.93501943192166 -151.91172909277742 376.3853939678996, 8 373.44144938885756 -7.602130223160742 -3.3292842905181033, 12 -18.44327683151429 -95.49152378619905 1027.6365635667923, 13 -14.755570744391695 -106.32335475477056 1266.4767325428545, 14 22.72371540940184 -191.8689263683922 1324.9397567140295, 15 13.122099644318629 -209.57582346067386 1460.4515647833255, 17 158.105433200856 -57.881388881310556 1209.7332463291102, 18 336.9122043494708 -19.423763122408076 1000.8229377091573, 19 239.52697830493835 -164.7089338635986 831.120532729168, 25 -163.47829117686453 -141.58755623058124 1218.504301795865, 26 -274.8533201671627 -269.9260057069257 1021.7823821989982, 27 -81.20372387002814 -367.1553386941739 1032.3931921944013, 
0 55.759085341070794 -153.61777384032828 690.1792258395038, 1 -67.97038896586196 -191.8640472895273 678.4600554205355, 2 -270.1005673158784 -217.81592914068605 366.93545695111266, 3 -400.88762333121707 -89.90949599720517 21.777834448221597, 6 181.86719101354373 -115.371777115349 702.1444693894138, 7 411.73364529508785 -153.86796020353557 377.09680653872493, 8 373.5990785538903 -5.852102246390729 -3.1612179332568076, 12 -18.90018533087065 -93.03358926349367 1028.521845414433, 13 -15.201089676080194 -103.25074360113737 1266.9047486777354, 14 21.693316868074838 -189.39029364099778 1324.6763855253987, 15 12.377525439589025 -207.8022120957958 1459.4758586510911, 17 158.1572559552059 -56.53891546807864 1210.3744044382759, 18 337.01269761072786 -18.190626912312524 1001.389605717287, 19 239.57173292837032 -163.96362277463064 831.6327693862753, 25 -163.65656222089387 -137.21248715919745 1219.4698965752045, 26 -275.21896201960396 -264.7594672363417 1022.5873868541062, 27 -81.33444663165237 -361.0598445133779 1033.2781313425858, 
0 77.2048873953288 -153.61777384032828 724.6712318079793, 1 -42.50272925842386 -189.88359864914406 721.0820461272936, 2 -228.57110736174408 -206.18015992620272 399.7039200516427, 3 -393.87553720938274 -72.26437254554145 44.847043236747254, 6 199.09018922373832 -117.35223257457037 728.3381973233301, 7 403.6876108532067 -148.59241664955897 385.3102498359901, 8 363.68782112336584 -17.40750802548075 8.11827391490624, 12 23.25100395663957 -92.22513853954884 1053.2573468437986, 13 30.41281831515378 -101.83335491849607 1292.4469596633116, 14 64.70548291467065 -189.6402298709561 1351.9144256539385, 15 55.506756394311964 -208.8421195360139 1488.6751369794222, 17 202.2066593020849 -54.17031066941961 1245.958246810123, 18 366.7875833351374 17.845991094483736 1030.1839628586413, 19 260.5986719797199 -103.11764456244308 841.0200707890765, 25 -129.55158373316664 -126.36235712674852 1238.062343485223, 26 -312.95205542886737 -209.64606374039457 1068.2481959201255, 27 -155.64603265651792 -333.80425747910203 1051.5357489162488, 
0 81.49404780618039 -153.61777384032828 729.1391149004935, 1 -34.02323196451645 -187.42990657876777 721.213409553957, 2 -228.57398189129003 -206.13051661746172 408.34334195562496, 3 -393.4809077012261 -76.35353862266717 45.7799467562204, 6 198.9691603816506 -119.80591724242197 737.2098500536167, 7 403.6066454380176 -149.39568267053653 385.5716606012501, 8 363.8160263576788 -15.9494338874498 8.01869742940164, 12 22.39991074058453 -88.04729633921993 1054.167019061464, 13 30.01006530268718 -97.54673907778489 1292.7142947271273, 14 63.53126567346029 -185.91020377533107 1351.5690959889216, 15 53.66373323945463 -207.05532173842658 1487.682616419505, 17 202.26379553972515 -53.011956116417736 1246.2636628882924, 18 366.4764325037637 14.307282377296104 1030.1653703789448, 19 260.075009865953 -111.2569548797108 841.1115164517779, 25 -129.76079501707378 -119.85879111795313 1247.6031041999747, 26 -322.0909835492296 -201.2925154942498 1069.0001939366282, 27 -155.85028711447617 -328.7915120465997 1052.0477288714224, 
