0 21.445801333976505 -1.4946638345718384 640.1146836965861, 1 -102.21279292936929 -29.74624955662461 632.6875311630488, 2 -337.32187896976643 -69.23452446467329 364.4390576147647, 3 -405.4385212903023 20.901786862863815 9.52646527105719, 6 146.8614388381256 26.756849090698395 647.6630144630913, 7 409.58632211157413 -22.604696311845828 359.33898605766944, 8 476.6942831238059 114.77582297370668 -17.621362391193088, 12 -48.558016661209635 37.790759267924784 964.0085073891657, 13 -68.49364670273975 15.86654836699904 1198.59389108216, 14 -33.62321306217731 -60.67845373934975 1262.3823140344095, 15 -51.21745575268031 -72.49530177678545 1395.7658344630886, 17 104.35880271449953 53.642636676098455 1142.3871290162153, 18 303.2014002556349 37.9427137916024 985.1081906047589, 19 242.07198654515338 -109.21302283907104 819.566382943819, 25 -221.8366558036975 -23.010047428338098 1152.875974214882, 26 -98.4843157678441 -174.6260912041589 958.664979580957, 27 132.03468512809846 -153.57697962462174 1000.8286488138708, 
0 30.02412186756711 -1.5003330707550049 640.6306551424141, 1 -93.63254958547198 -32.401753000434496 633.3114754630478, 2 -328.9057513649076 -69.03790236304084 356.49942292716815, 3 -406.1937731419877 28.389047400432503 8.580140578515511, 6 155.60263491463948 29.400958034412138 648.0823806609965, 7 410.5671132734086 -13.08255687038718 358.8128668940483, 8 460.910503134459 131.5527451436039 -11.552955738258447, 12 -46.69998772963891 39.43862491825135 973.3140380146294, 13 -59.927209153196266 19.156152439950162 1208.9261858050932, 14 -21.93435749646757 -58.382803275203 1273.1195531526198, 15 -34.02395334244082 -70.4550447346453 1406.7094892198702, 17 104.53477643152111 60.474891651788774 1152.2009108880752, 18 305.12291507491403 63.536658462593834 969.3963762184244, 19 227.2219633754778 -77.36239011919228 786.6247964738791, 25 -213.43171906144423 -20.64243482462888 1162.142981532729, 26 -147.48510932229576 -180.88432671483088 958.9127684384846, 27 73.96783121930329 -169.21270470634101 1025.1625663182108, 
0 30.02412186756711 -1.496337652206421 641.1708486997709, 1 -93.63254958547198 -32.39775758188591 633.8516690204046, 2 -328.9057513649076 -69.03390694449226 357.03961648452497, 3 -406.1937731419877 28.393042818981087 9.120334135872326, 6 155.60263491463948 29.404953452960722 648.6225742183533, 7 410.5671132734086 -13.078561451838596 359.3530604514051, 8 460.910503134459 131.55674056215247 -11.012762180901632, 12 -46.69998772963891 39.44262033679993 973.8542315719862, 13 -59.927209153196266 19.160147858498746 1209.46637936245, 14 -21.93435749646757 -58.37880785665442 1273.6597467099766, 15 -34.02395334244082 -70.45104931609671 1407.249682777227, 17 104.53477643152111 60.47888707033736 1152.741104445432, 18 305.12291507491403 63.54065388114242 969.9365697757812, 19 227.2219633754778 -77.3583947006437 787.1649900312359, 25 -213.43171906144423 -20.638439406080295 1162.6831750900858, 26 -147.48510932229576 -180.8803312962823 959.4529619958414, 27 73.96783121930329 -169.20870928779243 1025.7027598755676, 
0 30.02412186756711 -1.496363878250122 641.7110422571278, 1 -93.60342921412365 -33.63220095326493 634.4421614009996, 2 -328.84522492358025 -69.75759931378963 357.6605119636517, 3 -406.159440038324 28.05239440963112 9.727002425854721, 6 155.65028598177588 30.63933272492232 649.1177639900814, 7 410.6692968664274 -12.08593423425242 359.7846839411796, 8 460.89216731563624 131.39229431983355 -10.440480940604857, 12 -47.31664898360652 39.831741566197685 973.8779237112631, 13 -59.956184792016174 21.104164944153922 1210.2066924397143, 14 -21.100195638905248 -56.43853746659653 1273.7915650992381, 15 -33.18261016087753 -68.89144792687014 1407.4245704927262, 17 104.58560615343752 62.45398413007708 1153.4549662193367, 18 304.4773590410454 54.94012920633692 970.1078741709275, 19 225.9208185004462 -99.82927672574239 812.8556873062362, 25 -213.45949363838542 -20.1204234007582 1163.2711409197816, 26 -147.41812705152748 -182.61553971811065 959.9187308079003, 27 73.82085753504735 -176.82347049503701 1025.785701970795, 
0 30.02412186756711 -1.572229266166687 654.716372650141, 1 -93.51419640924323 -37.490659047613015 643.2354309665335, 2 -303.13077020651826 -75.25628458610694 358.4031044894152, 3 -406.31455250227026 29.515415416748283 9.564527886160704, 6 155.796300716926 34.345993158370824 666.4284108569477, 7 410.91477444037434 -9.77712952089702 368.22243807899605, 8 425.63295365091375 133.20131589961224 -10.67047984213798, 12 -39.59720664492301 45.68266302961795 991.4032579325551, 13 -41.08216267123565 31.327365927206813 1229.1349228639347, 14 -3.3364712991860657 -50.243935303157485 1289.6388757132036, 15 -13.527327377486994 -63.185649388653786 1424.4526859990601, 17 139.834769229484 73.66512873197773 1172.0646037586243, 18 322.28269536667926 59.98881122458591 970.4655238147532, 19 225.44176760112623 -108.178382000774 812.958051647062, 25 -196.84652765571866 -10.793546110061357 1181.39317208514, 26 -221.05447616741645 -183.94718764812848 976.3771235167253, 27 8.111443292259981 -219.27323006344164 1023.3790736376654, 
0 30.02412186756711 -1.5795872211456299 659.1433825095637, 1 -93.47554892027308 -39.1362901701365 651.9342990793186, 2 -302.9614433139855 -77.45685729642602 358.78553737125657, 3 -406.0730844462025 27.11242852993317 10.169900736281079, 6 155.85954133287598 35.976889469606 666.5135599362834, 7 411.07595292568857 -8.218733387968484 376.7564757687063, 8 425.4365960525443 131.28645948577136 -10.160368969268461, 12 -41.441223926368 46.65762367894996 991.3168715142434, 13 -41.10194146578636 33.26162660548461 1229.048526476346, 14 -1.3998508088142856 -48.39400729670969 1289.0358806289166, 15 -10.041506117714121 -62.078871821146784 1423.357977988714, 17 139.95375714343774 77.12546335994197 1172.5222333700024, 18 322.59640393376606 63.934959034780206 970.7729456058058, 19 225.598064884219 -105.48647580957015 813.1074788162148, 25 -196.84168836569256 -10.899013672092053 1181.5215535016293, 26 -220.86080219120004 -187.29930764698264 984.5371943950727, 27 8.099521332128916 -224.83969954118595 1023.183108346623, 
0 51.469923201543615 -1.509259581565857 685.3841918216859, 1 -67.94079516032734 -41.48031835187921 678.005967227791, 2 -270.0995967787998 -65.72142498801225 366.4311263921516, 3 -400.7437348025946 60.740588827422954 21.55035011856114, 6 173.28082071291448 38.46150239659171 692.933866330615, 7 411.9350033863509 0.19676369453601694 376.38537613479724, 8 373.4414484524001 144.5065128875035 -3.32931649677937, 12 -18.44320098439939 56.61694159294284 1027.6365209340636, 13 -14.755570113805332 45.78512247388727 1266.4766782624151, 14 22.723706174248413 -39.76046410484109 1324.939695686662, 15 13.122075577978935 -57.46736602057319 1460.4514797112088, 17 158.10542755804644 94.22711675986415 1209.7331973821517, 18 336.91219842041755 132.68481723349907 1000.8228999075639, 19 239.52697166821952 -12.600396155935144 831.1204975681094, 25 -163.4782843688167 10.520925695887328 1218.504250025312, 26 -274.8533090629933 -117.81751791248239 1021.7823389008129, 27 -81.20372163798119 -215.04680134129381 1032.3931515085092, 
0 55.759083468338915 -1.509817361831665 690.1791997998317, 1 -67.97038687877361 -39.75607940005831 678.4600294318604, 2 -270.10056173012583 -65.70792186727984 366.93543621232624, 3 -400.8876148642781 62.19851113805808 21.777821188828398, 6 181.86718534666124 36.73618916265836 702.1444427167013, 7 411.7336326192487 -1.7599925272329244 377.0967898375646, 8 373.59907925696376 146.25600134515886 -3.1612490809224028, 12 -18.900164386967084 59.07433140541279 1028.5217881104606, 13 -15.201088987163265 48.85716534993289 1266.9046977589644, 14 21.69328391944626 -37.28238710256145 1324.6763368768477, 15 12.377470192999317 -55.694297804420536 1459.475807107599, 17 158.15724993805074 95.56902274046034 1210.3743590857357, 18 337.0126853455474 133.91731795517262 1001.3895686525457, 19 239.57172121505496 -11.855727364165293 831.632738071865, 25 -163.6565564598075 14.895462828129013 1219.4698520765862, 26 -275.21895351997074 -112.65150024640654 1022.5873502587813, 27 -81.33444465068362 -208.9518530284699 1033.2780959566967, 
0 77.20488480231542 -1.5193928480148315 724.6712050413624, 1 -42.50272728843722 -37.78526824803501 721.0820204576955, 2 -228.5711037071171 -54.081709470376566 399.7038971978269, 3 -393.8755472788859 79.8342498642225 44.84699477723393, 6 199.0901852607208 34.74620363583732 728.3381694861971, 7 403.68760438949886 3.5060347289638543 385.31022722164965, 8 363.6877992745239 134.69076339992574 8.118292127306177, 12 23.251022802590423 59.87315919781782 1053.2572888904074, 13 30.412816771748304 50.26495653551581 1292.446905334326, 14 64.70546532211233 -37.54189335607565 1351.9143668270008, 15 55.50670959563409 -56.74373631281309 1488.675075121966, 17 202.2066504596806 97.92802874051435 1245.9581979874786, 18 366.78759226036516 169.9446136964666 1030.1839393029677, 19 260.5986820966646 48.98102971875737 841.0200432596599, 25 -129.5515757552789 25.735911123950785 1238.0622871448309, 26 -312.9520377277889 -57.547773362808336 1068.2481513955108, 27 -155.6460212456379 -181.70602823608792 1051.5357010829234, 
0 81.49404506911073 -1.5189368724822998 729.139088415326, 1 -34.023231020276114 -35.33104647488361 721.2133828884296, 2 -228.57397483029743 -54.03166901258922 408.34332519539595, 3 -393.48090765429646 75.74543479842222 45.77991805583986, 6 198.96915364586036 32.29291864715134 737.2098233135715, 7 403.6066363924454 2.7031990416033977 385.57164104921293, 8 363.81601513791384 136.14941444662438 8.018692994432854, 12 22.399924967369934 64.05154259486298 1054.1669793523292, 13 30.01006447324033 54.552122012224345 1292.7142522571962, 14 63.531251751050036 -33.81134568006438 1351.5691146024933, 15 53.663715441239084 -54.95639760815019 1487.6826399696074, 17 202.2637888123605 99.08688218732227 1246.263619181024, 18 366.4764342532623 166.40627922661233 1030.1653426983148, 19 260.07500788161536 40.8419870127213 841.1114873309867, 25 -129.76079184584898 32.24008274718945 1247.6030644163272, 26 -322.0909809285411 -49.193577941126314 1069.0001629396643, 27 -155.85028612183834 -176.69257097862936 1052.047698461787, 
