0 21.372883288464326 0.0 641.4617348585971, 1 -101.8798993186412 -27.680732028745577 634.0366539476915, 2 -336.2369700278951 -67.01438582489232 366.64435774997395, 3 -404.1080877257657 22.875296538862784 12.924452343100143, 6 146.34135252114427 27.680654032841527 649.0051420143959, 7 408.23589554467014 -20.698575982795376 361.5958555193281, 8 475.17165555801665 117.1212064193557 -14.20521493367346, 12 -48.270909487559905 38.828379958569336 963.5231753003342, 13 -68.247151191646 16.5602384294516 1197.9617638296536, 14 -33.42678897349908 -60.02768791282088 1261.7881396144967, 15 -51.01439634603295 -72.0695032123087 1395.2117399467857, 17 103.97023357165975 53.82185175174862 1141.913939774406, 18 302.06038440112474 37.96557567553735 985.2130218733901, 19 241.18645256732725 -108.72613011066802 820.2968172149189, 25 -221.0799568097013 -21.559119025841696 1152.4756555358267, 26 -98.19333600348014 -171.42063153148075 959.0020545413404, 27 131.6486831884672 -150.2420669090746 1001.0475620175201, 
0 29.922036603850056 0.0 641.7775660393945, 1 -93.32753056786423 -30.333930053224325 634.4602274627539, 2 -327.8510013736131 -66.77497874421695 358.52765721818685, 3 -404.88160928846935 30.575664040668812 11.742614115258561, 6 155.05173756299217 30.333813133903696 649.2245735735116, 7 409.2078457366441 -11.224439031080948 360.8789896211532, 8 459.42042626283984 133.74652269348258 -8.3234202436322, 12 -46.44425411897199 40.58103438630776 972.5881712500403, 13 -59.71293552572787 19.94862757460669 1208.0682113616547, 14 -21.820008587439332 -57.65108287309273 1272.2807668163298, 15 -33.914901108112 -69.9138729935134 1405.902451214324, 17 104.14795409836837 60.751213453910744 1151.501168885763, 18 303.9769807498041 63.58677752157391 969.3634575733685, 19 226.38641125431417 -76.95331268971472 787.2776438180297, 25 -212.70825373380285 -19.10044867725 1161.5205221384786, 26 -147.05001361043958 -177.65881639876582 959.0512297279372, 27 73.74478229732014 -166.23335789011338 1025.0905373080002, 
0 29.922036603850056 0.0 641.8613230452067, 1 -93.32753056786423 -30.333930053224325 634.5439844685661, 2 -327.8510013736131 -66.77497874421695 358.6114142239991, 3 -404.88160928846935 30.575664040668812 11.826371121070792, 6 155.05173756299217 30.333813133903696 649.3083305793239, 7 409.2078457366441 -11.224439031080948 360.96274662696544, 8 459.42042626283984 133.74652269348258 -8.239663237819968, 12 -46.44425411897199 40.58103438630776 972.6719282558525, 13 -59.71293552572787 19.94862757460669 1208.151968367467, 14 -21.820008587439332 -57.65108287309273 1272.364523822142, 15 -33.914901108112 -69.9138729935134 1405.9862082201362, 17 104.14795409836837 60.751213453910744 1151.584925891575, 18 303.9769807498041 63.58677752157391 969.4472145791807, 19 226.38641125431417 -76.95331268971472 787.3614008238419, 25 -212.70825373380285 -19.10044867725 1161.6042791442908, 26 -147.05001361043958 -177.65881639876582 959.1349867337494, 27 73.74478229732014 -166.23335789011338 1025.1742943138124, 
0 29.922036603850056 0.0 641.945080051019, 1 -93.29604065925542 -31.673346418251214 634.6821331347027, 2 -327.78793842656455 -67.53154425783856 358.77925515920936, 3 -404.84196878740437 30.181044884754442 11.986878884264229, 6 155.10326519916825 31.673195572664994 649.3434225954143, 7 409.308139416203 -10.246820976803349 360.9399415982463, 8 459.3989644032288 133.55341441516887 -8.118347977688359, 12 -47.05175349260208 41.0248737386894 972.2411375829656, 13 -59.74265961977266 21.949690326073096 1208.4410140803511, 14 -20.935607545084494 -55.64451901240176 1272.081246038738, 15 -33.04283148869389 -68.28783672768262 1405.7414242040522, 17 104.2029369677425 62.895007400350224 1151.8565410344156, 18 303.3503228505474 55.20956834222197 969.1728813568462, 19 225.0982336266258 -99.2761232637695 812.503782959564, 25 -212.73144895381762 -18.666343092116932 1161.7279319285285, 26 -146.972089277177 -179.68434078275726 959.1321611470476, 27 73.59342608066375 -174.10190663914656 1024.7871653122493, 
0 29.922036603850056 0.0 655.0073416430919, 1 -93.2036297324977 -35.604024945909195 643.5533408755966, 2 -302.1423895313239 -73.13433551672868 359.6404753572664, 3 -404.9703329719955 31.458903761714936 11.976875592667284, 6 155.25448081018413 35.603815117664524 666.6896373384697, 7 409.5447323594799 -7.940618493462537 369.45927513916496, 8 424.2265226436562 135.17092466713186 -8.194411164975122, 12 -39.42618228626142 46.89947067163666 989.7790964794931, 13 -40.93529224633089 32.19170107802205 1227.3970822793508, 14 -3.2230482307411137 -49.46041058942089 1287.8840660233022, 15 -13.468438706007937 -62.528301246720616 1422.7154864455752, 17 139.32721575311322 74.29866482710564 1170.5102636834483, 18 321.1238635028927 60.7639225730411 969.6488381052768, 19 224.64571451358043 -107.11782011094982 812.7087946442588, 25 -196.1640582784692 -9.489228031670564 1179.867615804831, 26 -220.35472164064893 -181.47637052992962 975.6166630541519, 27 8.084960066957965 -217.18793957870287 1022.4472532217795, 
0 29.922036603850056 0.0 655.2458732620864, 1 -93.18750468310826 -36.28990038960719 643.8182589390465, 2 -302.11723810076325 -73.46122208578862 359.91533682040404, 3 -405.06541360047106 32.40542654384083 12.031314930996245, 6 155.28086692293886 36.28968193930686 666.9061805301685, 7 409.62406615564413 -7.167308033764101 369.615167387155, 8 424.33668649118306 136.2447527163623 -8.164731840250283, 12 -42.256568040250244 47.42989081778049 989.861635589788, 13 -40.95153209245762 33.791351872865874 1227.8067305927964, 14 -1.5878683840187122 -47.814872637865946 1287.3876298387927, 15 -9.573641819117128 -61.42789445517721 1421.7802162829425, 17 139.39807551870751 76.37079299524711 1170.9392309224772, 18 321.28464259332617 62.797050609103145 969.9742773407219, 19 224.72818991136504 -105.68860519353932 812.953435551978, 25 -196.18306583809078 -9.102562543179019 1188.6730346421325, 26 -220.28391726832126 -182.70333842419592 983.9561658241505, 27 8.081690967044116 -218.71749451508038 1022.5942500431862, 
0 51.29491989231438 0.0 685.3530893699999, 1 -67.71374370881647 -39.73977241971628 677.9930309795856, 2 -269.22312467744 -63.599593644483484 367.4177275153443, 3 -399.40993492236294 62.5425007171109 23.720686641964335, 6 172.68176127906742 39.7394901854357 692.8830257025738, 7 410.5720953813201 2.073658007962706 377.36640176825006, 8 372.1956999969404 146.2830546885313 -1.0701318091436178, 12 -18.301379901494535 57.772527826893324 1025.6647312290363, 13 -14.702979315025837 46.62826491368405 1264.392777142318, 14 22.800238692675343 -38.923291127095595 1322.8548116789416, 15 13.108779517548728 -56.6671426255948 1458.3602453701155, 17 157.53752127161627 94.94797541592898 1207.8400546792345, 18 335.70946768234097 133.48987902785 999.6846550145891, 19 238.69811419590192 -11.332427733398848 830.5918130694289, 25 -162.90621045360788 11.630513667457933 1216.6186252187927, 26 -273.9349967261218 -116.07830594735846 1020.620716155023, 27 -80.93140348634384 -213.36052819671386 1031.1931525804114, 
0 55.569496550007244 0.0 689.8128455317561, 1 -67.72225620602302 -39.24191626411082 678.1633136135374, 2 -260.7238056200093 -64.89904564240541 367.7445495024495, 3 -399.51923406946486 63.65422176250769 23.69439605706964, 6 181.29350399914037 39.24163316729635 701.713997974528, 7 410.4987077016478 1.3583076396768234 377.626497861979, 8 372.3485042352981 147.98530332867534 -1.2123899587038522, 12 -19.427815876839652 61.02972556219445 1026.2256631049174, 13 -15.149763834138847 50.463284892788025 1264.588539251345, 14 21.66582596547893 -35.61762246899464 1321.9672344033743, 15 12.148025970352284 -54.30970386904788 1456.712315323859, 17 157.65041224970614 97.88240448679588 1208.3200050705327, 18 336.0002025807006 137.0696105383921 1000.0458056413439, 19 238.94375368577238 -7.227769131404031 830.812083929188, 25 -163.08261850401485 15.97463238397981 1217.2587518002213, 26 -274.2723713230715 -111.29492108680613 1021.0819294202272, 27 -81.04730131017855 -207.937870791511 1031.7144357735956, 
0 81.21695649616444 0.0 728.3148644720293, 1 -33.89839976014763 -34.88222639060688 720.4366915347829, 2 -227.90017564029063 -50.72131260247477 399.9929704360907, 3 -392.6555505159781 82.59324798943541 46.299705564579085, 6 198.34524039441618 34.88195191687499 736.3421482663797, 7 402.4798057279415 6.665832725084869 385.6648851453025, 8 362.7777437555608 139.93635446947312 9.214939915971058, 12 23.792283928318557 62.77919350978354 1050.866918669597, 13 29.885643610407612 53.03546433362261 1289.6046479319762, 14 64.04101270920711 -35.14063908601807 1348.8721991361194, 15 54.39701586304645 -55.18698619675235 1485.1100614396191, 17 201.49858860830577 99.02963587960392 1243.509309213532, 18 365.3348755752796 169.1177559359256 1028.3838657501703, 19 259.4742233281816 46.7823928436876 839.9537948831453, 25 -129.19325347245973 29.81827420510747 1235.965152801478, 26 -312.10637345315826 -53.26652619736988 1066.637927495144, 27 -155.17794362657804 -178.68114440100996 1049.8931569121635, 
0 81.21695649616444 0.0 728.3456934930666, 1 -33.909418020407536 -33.59341335223562 720.4427294702356, 2 -227.83578571813854 -51.837124586927814 408.57424805191647, 3 -392.1925193953825 77.7789324294776 47.2154385049771, 6 198.2818862347078 33.593155901009894 736.392258988198, 7 402.262359439895 4.50116607505764 385.91778697115336, 8 362.5933238372657 137.83179668614784 9.64609510111245, 12 22.439662302747667 65.2709948740563 1051.4832133016469, 13 29.903991667526824 55.523793752764675 1289.938086938545, 14 63.49504827731158 -32.837919067444446 1348.7564743743546, 15 53.607200627976255 -54.010291019737174 1484.8373413499648, 17 201.54172768150806 99.90720202407114 1243.635794440366, 18 365.15086128514355 167.0178270880587 1028.298002782341, 19 259.15253042492765 41.765242546086625 839.9310084203071, 25 -129.30836345418834 33.40880463487285 1245.0079133240054, 26 -320.97246121186765 -47.96245686667777 1067.0315189314094, 27 -155.3139011373388 -175.33313638331987 1050.1458113454946, 
0 98.3152631269359 0.0 741.1756239799734, 1 -16.948462774416306 -35.05466584286932 737.4255008195234, 2 -203.5630136617441 -31.51707636754989 432.0280543860224, 3 -333.60943575139123 107.63281639525957 59.29268360585263, 6 215.60186731330634 35.05440802503307 745.0006723747871, 7 393.3813269884167 1.2233551215523022 386.2602575855458, 8 361.0412123633309 120.11945675423127 13.021513204701364, 12 41.047500609379505 65.34361379820356 1077.4328129249693, 13 47.2495583779702 56.375371570188385 1317.357227061559, 14 85.45395470909543 -31.744312786902263 1378.3843530369472, 15 79.8960188197472 -51.71130669494254 1516.472173517769, 17 228.1269732786582 105.25535485760044 1270.54729580104, 18 385.2501019431395 191.90269063403503 1056.5649567241908, 19 279.0626632415417 80.2675561350401 866.5107863403659, 25 -112.0807314251454 33.89407439685634 1262.3112356805846, 26 -322.83167212588876 -25.070551109178524 1102.5856520176646, 27 -181.26004983584397 -145.07174200335285 1052.1570089350334, 
0 98.3152631269359 0.0 741.1818244938015, 1 -16.947425955163983 -35.29722068171222 737.4353302007348, 2 -203.58604995277244 -31.067981387448796 431.9929815450915, 3 -333.5384295355367 106.75853817901145 59.45584522841193, 6 215.61482815412035 35.29697409605067 745.0037622868199, 7 393.478387147242 2.210589003030279 386.1651779336431, 8 360.9496533484659 119.07460628932995 13.226463775187653, 12 49.220351676787594 63.7550121989446 1077.2279775279112, 13 56.7641984522797 54.80614060160165 1317.1620259383699, 14 93.98489173737897 -33.39576151345276 1378.0134379271517, 15 87.96209465692002 -53.22663725305953 1515.8740662580246, 17 236.84907701818275 104.35406365837494 1270.4494750801741, 18 385.50377506974877 194.66290550902528 1056.7422391141044, 19 279.44327571361197 85.83261705436625 866.6121399722117, 25 -112.03953209197395 32.411270494382094 1262.1463005027774, 26 -322.9915048091337 -23.102579270041147 1111.2430494105968, 27 -181.59060666465857 -138.0416608496452 1052.628994071282, 
0 98.3152631269359 0.0 741.2109887574716, 1 -16.947425955163983 -35.29722068171222 737.4644944644049, 2 -203.58604995277244 -31.067981387448796 432.02214580876154, 3 -333.5384295355367 106.75853817901145 59.485009492081986, 6 215.61482815412035 35.29697409605067 745.03292655049, 7 393.478387147242 2.210589003030279 386.1943421973132, 8 360.9496533484659 119.07460628932995 13.255628038857708, 12 49.220351676787594 63.7550121989446 1077.2571417915813, 13 56.7641984522797 54.80614060160165 1317.19119020204, 14 93.98489173737897 -33.39576151345276 1378.0426021908218, 15 87.96209465692002 -53.22663725305953 1515.9032305216947, 17 236.84907701818275 104.35406365837494 1270.4786393438444, 18 385.50377506974877 194.66290550902528 1056.7714033777745, 19 279.44327571361197 85.83261705436625 866.6413042358818, 25 -112.03953209197395 32.411270494382094 1262.1754647664475, 26 -322.9915048091337 -23.102579270041147 1111.2722136742668, 27 -181.59060666465857 -138.0416608496452 1052.658158334952, 
